observation_id,network_name,latitude,longitude,rssi_dbm,signal_std_dbm,distance_to_ap_m,connected_devices,avg_download_mbps,peak_usage_hours,frequency_mhz,timestamp
1,Network_C,13.083886,80.269434,-80.5,1.7,118.06,77,22.24,1,5000,2026-01-12 03:03:00
2,Network_C,13.080782,80.27258,-79.33,2.28,125.7,78,1.4,1,2400,2026-01-20 02:00:00
3,Network_A,13.082799,80.270299,-46.83,3.68,11.77,66,32.71,0,2400,2026-01-03 16:50:00
4,Network_C,13.081382,80.26896,-83.65,5.79,142.59,62,3.8,0,2400,2026-01-12 21:59:00
5,Network_C,13.081393,80.270264,-55.09,2.46,31.42,6,78.52,0,2400,2026-01-05 18:33:00
6,Network_D,13.084458,80.272279,-72.97,2.9,91.7,55,5.78,0,2400,2026-01-15 18:03:00
7,Network_D,13.082871,80.269264,-78.71,1.04,121.32,13,25.02,0,5000,2026-01-10 17:06:00
8,Network_C,13.083785,80.268996,-66.79,1.44,56.98,25,36.36,1,2400,2026-01-22 09:38:00
9,Network_D,13.08325,80.272249,-61.56,6.33,73.47,16,44.14,0,2400,2026-01-01 03:26:00
10,Network_C,13.081144,80.270457,-53.86,4.94,34.25,6,59.19,1,2400,2026-01-05 10:14:00
11,Network_A,13.082859,80.269512,-72.31,7.16,141.71,44,23.39,1,2400,2026-01-02 20:53:00
12,Network_D,13.083915,80.269446,-71.75,7.27,134.42,64,18.44,0,2400,2026-01-01 21:46:00
13,Network_B,13.080702,80.27011,-56.66,4.39,49.19,53,27.23,0,5000,2026-01-25 03:26:00
14,Network_C,13.081993,80.270775,-70.45,7.74,106.94,41,25.15,0,2400,2026-01-02 03:16:00
15,Network_A,13.084691,80.269767,-83.86,3.42,146.61,3,11.3,0,5000,2026-01-15 23:16:00
16,Network_D,13.082491,80.270912,-68.81,2.7,90.94,40,22.74,0,5000,2026-01-29 03:45:00
17,Network_B,13.082295,80.271966,-75.05,5.87,120.76,5,19.08,0,2400,2026-01-05 13:06:00
18,Network_B,13.082748,80.269606,-66.96,3.71,98.55,3,26.38,1,2400,2026-01-28 08:24:00
19,Network_B,13.084399,80.272209,-50.38,4.89,42.4,62,42.51,0,2400,2026-01-27 12:31:00
20,Network_B,13.084289,80.272302,-75.38,6.08,96.8,5,10.45,1,5000,2026-01-09 11:03:00
21,Network_D,13.081037,80.269347,-77.36,1.04,135.29,68,2.5,1,5000,2026-01-20 21:23:00
22,Network_A,13.080772,80.270676,-46.02,6.05,30.93,35,56.43,0,2400,2026-01-29 08:18:00
23,Network_B,13.081761,80.269676,-77.13,5.42,146.09,23,18.89,0,5000,2026-01-28 15:10:00
24,Network_D,13.084157,80.269621,-56.95,1.31,77.38,46,33.75,1,2400,2026-01-13 02:53:00
25,Network_A,13.084234,80.271691,-77.77,5.01,143.2,62,1.0,1,2400,2026-01-08 06:52:00
26,Network_A,13.081464,80.269774,-70.55,6.91,75.37,69,3.56,0,5000,2026-01-06 04:15:00
27,Network_C,13.08466,80.26926,-63.25,5.88,80.16,45,29.56,1,2400,2026-01-05 00:41:00
28,Network_C,13.082379,80.269725,-74.33,1.5,93.67,18,30.59,0,2400,2026-01-10 07:23:00
29,Network_B,13.081076,80.271013,-40.0,3.01,10.21,60,22.56,1,2400,2026-01-30 15:15:00
30,Network_B,13.08399,80.270141,-43.05,2.51,23.42,7,89.44,0,5000,2026-01-01 14:36:00
31,Network_D,13.082825,80.270863,-79.48,6.57,97.43,65,11.13,0,5000,2026-01-19 00:25:00
32,Network_A,13.081437,80.269023,-63.62,7.41,67.11,36,38.19,0,5000,2026-01-14 22:16:00
33,Network_D,13.084438,80.271253,-68.92,6.11,79.92,69,33.31,0,5000,2026-01-03 10:26:00
34,Network_A,13.081181,80.270068,-50.98,7.86,18.31,71,27.03,0,5000,2026-01-25 11:27:00
35,Network_A,13.082594,80.269393,-53.82,5.45,67.91,36,39.22,0,5000,2026-01-17 04:09:00
36,Network_C,13.082713,80.272126,-71.14,5.1,100.51,26,22.65,1,2400,2026-01-25 10:35:00
37,Network_A,13.082533,80.270882,-78.18,7.34,141.51,46,13.71,0,5000,2026-01-27 17:34:00
38,Network_B,13.080773,80.269078,-72.05,6.91,104.04,36,21.19,0,2400,2026-01-03 06:27:00
39,Network_B,13.083487,80.271216,-73.99,2.97,132.23,12,33.85,0,5000,2026-01-13 03:46:00
40,Network_D,13.081211,80.2697,-66.39,2.67,89.18,57,27.16,1,2400,2026-01-03 00:34:00
41,Network_A,13.082211,80.270837,-71.98,1.7,77.0,14,17.14,1,2400,2026-01-26 15:39:00
42,Network_A,13.081977,80.2725,-71.15,4.14,142.84,14,41.83,0,2400,2026-01-16 06:12:00
43,Network_D,13.084485,80.271825,-48.74,5.94,21.45,78,35.06,1,5000,2026-01-25 12:27:00
44,Network_A,13.081104,80.269036,-74.02,1.59,106.64,10,31.16,0,2400,2026-01-13 07:49:00
45,Network_D,13.081647,80.272331,-61.07,4.37,90.82,56,15.51,1,5000,2026-01-20 13:38:00
46,Network_C,13.082438,80.269715,-52.99,6.37,63.75,41,40.32,1,2400,2026-01-11 04:43:00
47,Network_B,13.082301,80.270611,-62.08,6.61,17.02,47,34.62,1,2400,2026-01-27 03:58:00
48,Network_A,13.080874,80.272399,-75.35,1.53,138.27,49,4.47,1,5000,2026-01-30 09:56:00
49,Network_B,13.083037,80.272305,-48.45,5.34,11.59,10,83.98,0,5000,2026-01-26 08:07:00
50,Network_B,13.081618,80.269764,-60.93,1.23,57.25,75,8.52,0,5000,2026-01-25 16:27:00
51,Network_D,13.08135,80.272344,-82.67,7.53,124.27,7,28.46,0,2400,2026-01-20 05:52:00
52,Network_B,13.084649,80.269302,-66.08,6.89,91.15,79,15.65,0,2400,2026-01-28 19:14:00
53,Network_C,13.081794,80.268926,-77.57,6.38,130.38,39,12.96,1,2400,2026-01-10 08:16:00
54,Network_A,13.082502,80.269217,-87.68,5.7,143.34,34,7.61,0,2400,2026-01-06 00:39:00
55,Network_C,13.083386,80.270781,-68.35,4.86,116.99,7,41.31,0,2400,2026-01-30 17:28:00
56,Network_A,13.081236,80.268815,-66.18,2.49,114.49,40,30.84,1,5000,2026-01-05 19:49:00
57,Network_B,13.08306,80.270269,-63.46,4.6,68.43,32,34.94,1,2400,2026-01-30 22:08:00
58,Network_A,13.083886,80.270537,-76.14,3.43,127.1,45,13.48,0,2400,2026-01-05 08:14:00
59,Network_A,13.08254,80.271039,-65.3,5.88,63.04,27,33.2,1,2400,2026-01-24 05:14:00
60,Network_A,13.084592,80.271108,-56.88,3.43,37.46,24,61.35,0,2400,2026-01-28 04:24:00
61,Network_D,13.081525,80.270157,-65.01,6.6,78.0,58,19.71,1,2400,2026-01-04 01:52:00
62,Network_B,13.084173,80.269038,-67.78,7.47,91.61,16,31.41,1,2400,2026-01-02 11:25:00
63,Network_D,13.083582,80.268949,-49.6,6.91,26.42,20,61.05,0,2400,2026-01-25 01:54:00
64,Network_C,13.081119,80.27165,-46.91,1.62,31.43,46,54.93,0,2400,2026-01-05 06:48:00
65,Network_D,13.08212,80.271295,-55.82,4.9,74.54,42,48.88,0,2400,2026-01-12 01:13:00
66,Network_A,13.08205,80.272299,-68.33,3.31,93.1,35,17.6,0,2400,2026-01-02 02:45:00
67,Network_C,13.082651,80.272103,-45.45,1.04,17.74,53,38.47,1,5000,2026-01-01 14:06:00
68,Network_C,13.082986,80.26982,-76.97,3.98,116.58,22,13.27,0,2400,2026-01-02 10:08:00
69,Network_B,13.083771,80.269049,-65.59,5.16,78.39,8,49.39,0,5000,2026-01-12 13:24:00
70,Network_C,13.082896,80.269507,-59.12,6.56,104.26,51,21.8,1,5000,2026-01-01 03:55:00
71,Network_B,13.081197,80.271623,-77.82,6.89,141.06,74,19.64,1,2400,2026-01-22 04:43:00
72,Network_B,13.084001,80.269446,-51.08,3.21,39.18,44,51.24,0,5000,2026-01-07 14:30:00
73,Network_D,13.082208,80.270551,-57.08,2.63,48.7,68,41.94,0,5000,2026-01-19 13:27:00
74,Network_C,13.082871,80.270426,-53.73,2.17,53.26,31,62.52,0,5000,2026-01-07 13:26:00
75,Network_C,13.083854,80.269307,-53.4,1.23,50.2,68,16.94,1,2400,2026-01-17 11:10:00
76,Network_C,13.084086,80.26921,-62.87,2.6,62.61,78,17.26,1,2400,2026-01-12 10:38:00
77,Network_C,13.083476,80.270871,-60.67,7.36,41.51,40,35.0,0,2400,2026-01-01 13:34:00
78,Network_B,13.084489,80.269313,-55.27,1.13,90.0,62,34.6,0,5000,2026-01-26 20:19:00
79,Network_D,13.083487,80.27239,-70.64,5.25,107.55,53,7.1,1,5000,2026-01-03 08:08:00
80,Network_B,13.084343,80.269191,-56.81,6.86,39.21,3,45.1,1,2400,2026-01-28 06:42:00
81,Network_D,13.083132,80.270217,-70.15,5.23,112.92,37,22.42,0,2400,2026-01-24 21:13:00
82,Network_C,13.084392,80.270563,-62.87,1.23,74.72,53,36.49,0,2400,2026-01-02 09:10:00
83,Network_D,13.082376,80.272359,-50.14,1.09,57.55,51,54.85,0,5000,2026-01-14 18:16:00
84,Network_A,13.082929,80.272143,-68.54,3.17,82.59,53,16.68,0,2400,2026-01-20 10:05:00
85,Network_D,13.082573,80.2712,-58.43,3.06,59.77,49,46.69,0,5000,2026-01-27 09:20:00
86,Network_B,13.082688,80.271761,-52.82,6.27,19.93,12,65.15,0,5000,2026-01-12 09:58:00
87,Network_D,13.084059,80.272168,-69.15,2.37,64.16,74,18.71,0,2400,2026-01-03 07:00:00
88,Network_C,13.08425,80.270927,-66.13,7.74,109.52,39,35.59,0,5000,2026-01-01 13:42:00
89,Network_D,13.081048,80.271233,-71.27,5.93,111.71,3,34.35,1,5000,2026-01-14 20:58:00
90,Network_B,13.084,80.270152,-49.87,6.42,9.96,11,81.03,0,5000,2026-01-13 08:11:00
91,Network_D,13.081157,80.270963,-88.64,4.39,147.88,16,1.0,1,5000,2026-01-29 14:36:00
92,Network_A,13.081732,80.269257,-76.42,2.2,126.06,39,21.11,0,5000,2026-01-19 12:25:00
93,Network_D,13.082692,80.268969,-51.89,1.75,63.76,29,43.19,1,5000,2026-01-21 10:02:00
94,Network_D,13.081703,80.271232,-58.24,3.83,76.67,64,31.7,0,5000,2026-01-15 07:29:00
95,Network_D,13.084535,80.269437,-50.65,7.41,18.1,61,48.36,0,2400,2026-01-20 23:29:00
96,Network_C,13.083355,80.272447,-69.77,1.36,111.22,64,2.01,1,2400,2026-01-01 08:01:00
97,Network_A,13.083784,80.269126,-49.15,5.82,15.89,44,65.91,0,2400,2026-01-20 13:05:00
98,Network_A,13.080709,80.272571,-47.98,6.65,5.76,51,43.05,0,5000,2026-01-26 06:48:00
99,Network_C,13.082785,80.269047,-77.53,6.31,143.93,72,17.77,1,5000,2026-01-09 06:38:00
100,Network_C,13.084651,80.272476,-45.53,2.26,10.72,9,83.93,0,2400,2026-01-17 17:10:00
101,Network_A,13.08147,80.269161,-58.25,1.38,66.16,20,59.24,0,2400,2026-01-16 02:56:00
102,Network_B,13.083085,80.26962,-49.51,3.38,22.48,57,38.68,0,2400,2026-01-20 19:35:00
103,Network_A,13.082854,80.271347,-86.23,7.14,111.99,68,9.1,0,5000,2026-01-01 09:05:00
104,Network_B,13.080701,80.269442,-47.18,2.9,60.67,12,71.87,0,2400,2026-01-03 09:10:00
105,Network_D,13.08365,80.269655,-56.98,3.07,21.02,64,23.47,0,5000,2026-01-18 13:20:00
106,Network_A,13.084651,80.270411,-65.53,7.65,60.73,63,28.7,0,5000,2026-01-27 02:13:00
107,Network_C,13.084216,80.272479,-68.81,7.94,72.77,61,23.9,0,2400,2026-01-12 01:34:00
108,Network_B,13.083131,80.270751,-57.2,2.31,38.45,5,42.36,1,2400,2026-01-06 17:25:00
109,Network_C,13.081565,80.270773,-76.4,4.61,91.6,64,10.94,1,2400,2026-01-21 00:31:00
110,Network_C,13.081598,80.269595,-57.98,1.64,82.86,58,47.46,0,5000,2026-01-23 10:04:00
111,Network_A,13.080878,80.272109,-45.0,6.15,10.14,40,58.39,0,2400,2026-01-04 16:15:00
112,Network_B,13.08283,80.272548,-45.68,5.0,20.87,42,43.5,1,2400,2026-01-19 10:52:00
113,Network_A,13.083636,80.270785,-80.91,2.12,130.88,15,8.14,1,2400,2026-01-19 06:12:00
114,Network_B,13.081123,80.271496,-47.91,1.04,32.44,34,59.57,0,5000,2026-01-30 12:54:00
115,Network_C,13.080704,80.270925,-77.59,1.59,114.71,29,9.2,1,2400,2026-01-23 04:46:00
116,Network_B,13.083236,80.27086,-73.19,4.79,118.08,65,12.2,0,2400,2026-01-18 22:21:00
117,Network_A,13.08111,80.272449,-72.12,5.96,104.74,24,18.22,1,5000,2026-01-15 13:13:00
118,Network_D,13.080883,80.272186,-79.7,1.17,146.16,13,9.57,1,2400,2026-01-20 03:30:00
119,Network_C,13.083433,80.270484,-62.32,6.56,44.68,31,39.64,0,5000,2026-01-10 05:01:00
120,Network_D,13.083318,80.269793,-81.83,7.61,142.88,61,1.0,1,2400,2026-01-23 08:36:00
121,Network_C,13.081948,80.269983,-76.41,7.08,110.04,26,26.41,0,2400,2026-01-16 23:39:00
122,Network_D,13.082873,80.269337,-45.5,1.13,34.54,66,20.2,0,5000,2026-01-11 14:11:00
123,Network_B,13.082548,80.268705,-75.07,4.91,91.76,50,22.27,0,2400,2026-01-04 13:09:00
124,Network_A,13.081776,80.27189,-58.89,1.51,50.0,66,27.8,0,2400,2026-01-29 13:25:00
125,Network_D,13.083328,80.271728,-79.49,6.24,143.13,43,17.24,0,2400,2026-01-27 18:39:00
126,Network_C,13.082696,80.271173,-72.82,3.29,106.86,4,33.43,0,2400,2026-01-13 17:33:00
127,Network_A,13.083998,80.270131,-53.33,1.29,51.7,46,49.65,0,2400,2026-01-27 23:30:00
128,Network_C,13.080826,80.272445,-40.0,7.1,12.54,52,45.36,1,5000,2026-01-10 11:09:00
129,Network_C,13.083959,80.26902,-72.1,4.17,134.75,5,35.89,0,5000,2026-01-21 12:25:00
130,Network_B,13.081027,80.268941,-60.37,6.53,40.83,57,26.88,0,5000,2026-01-14 22:09:00
131,Network_B,13.083577,80.269614,-82.18,2.4,149.47,37,11.78,0,5000,2026-01-24 00:00:00
132,Network_C,13.08255,80.272173,-75.03,3.42,110.44,22,37.05,0,5000,2026-01-11 14:42:00
133,Network_D,13.083052,80.268818,-53.04,6.55,62.35,41,61.79,0,2400,2026-01-30 07:49:00
134,Network_A,13.081543,80.271192,-72.27,6.01,96.58,44,25.62,0,5000,2026-01-24 00:22:00
135,Network_A,13.084118,80.270669,-56.0,4.6,40.85,4,74.24,0,2400,2026-01-19 11:36:00
136,Network_D,13.081733,80.271327,-60.38,7.79,52.15,49,37.83,0,5000,2026-01-24 04:37:00
137,Network_B,13.082024,80.270495,-71.33,5.12,102.06,78,1.0,1,5000,2026-01-05 05:39:00
138,Network_D,13.080847,80.271646,-64.24,6.64,101.25,30,28.26,1,5000,2026-01-01 10:19:00
139,Network_C,13.081148,80.269779,-44.68,1.28,13.28,37,63.11,0,2400,2026-01-27 08:26:00
140,Network_A,13.081113,80.271039,-73.6,5.8,104.79,52,1.0,1,2400,2026-01-05 14:38:00
141,Network_C,13.082655,80.271367,-56.0,5.71,25.25,3,54.87,1,2400,2026-01-28 23:27:00
142,Network_B,13.084173,80.269409,-71.51,5.32,105.43,10,41.45,1,2400,2026-01-21 07:39:00
143,Network_C,13.084424,80.271458,-67.58,3.76,103.09,71,9.17,0,5000,2026-01-26 00:59:00
144,Network_B,13.084698,80.268893,-76.65,6.48,146.69,79,7.11,0,2400,2026-01-19 00:03:00
145,Network_B,13.082317,80.270008,-67.46,6.58,101.8,77,21.76,0,5000,2026-01-30 00:21:00
146,Network_C,13.080723,80.269998,-51.56,3.72,58.14,35,47.68,0,2400,2026-01-22 12:50:00
147,Network_D,13.080759,80.271048,-46.01,4.5,29.42,28,56.17,1,5000,2026-01-19 10:03:00
148,Network_A,13.083955,80.269136,-59.8,4.34,26.6,45,29.68,1,5000,2026-01-12 05:33:00
149,Network_B,13.083562,80.270785,-71.48,1.5,124.25,17,30.52,0,2400,2026-01-26 15:14:00
150,Network_C,13.081489,80.270617,-51.35,4.66,33.21,29,35.08,1,5000,2026-01-22 12:50:00
151,Network_D,13.081945,80.271141,-75.23,1.85,108.84,77,1.0,0,5000,2026-01-21 15:34:00
152,Network_A,13.081438,80.269881,-79.12,6.71,120.04,46,12.21,0,5000,2026-01-08 17:30:00
153,Network_A,13.083106,80.271977,-81.81,5.28,133.21,44,2.47,1,5000,2026-01-25 23:53:00
154,Network_C,13.083822,80.269799,-66.97,1.67,124.28,38,24.85,0,2400,2026-01-19 04:00:00
155,Network_C,13.084177,80.270592,-68.39,2.61,82.63,73,9.42,0,5000,2026-01-07 08:40:00
156,Network_B,13.083228,80.268934,-48.05,5.73,25.56,44,40.73,0,2400,2026-01-23 13:36:00
157,Network_C,13.084665,80.269214,-47.18,2.92,20.1,38,71.55,0,2400,2026-01-06 10:43:00
158,Network_C,13.082305,80.270168,-63.82,6.82,54.82,62,35.62,1,2400,2026-01-03 22:55:00
159,Network_A,13.081785,80.271071,-72.14,2.33,103.62,4,13.6,1,5000,2026-01-07 17:26:00
160,Network_B,13.082034,80.271022,-48.92,6.28,17.87,57,46.16,0,5000,2026-01-17 02:37:00
161,Network_A,13.083987,80.268705,-57.26,3.68,48.62,25,54.91,0,5000,2026-01-21 08:21:00
162,Network_A,13.083649,80.271774,-58.33,2.8,40.33,74,20.4,1,2400,2026-01-08 15:43:00
163,Network_D,13.083828,80.271535,-52.91,3.52,10.24,4,46.66,1,2400,2026-01-14 02:40:00
164,Network_C,13.084001,80.269819,-78.59,4.97,141.65,14,26.34,1,5000,2026-01-18 11:29:00
165,Network_A,13.082222,80.272212,-74.87,3.13,130.87,75,16.14,0,2400,2026-01-05 16:01:00
166,Network_C,13.08348,80.270084,-76.19,1.93,146.46,56,18.53,0,2400,2026-01-05 02:21:00
167,Network_A,13.083125,80.271759,-65.22,2.02,30.35,10,45.95,0,5000,2026-01-12 18:00:00
168,Network_C,13.084552,80.270898,-90.0,4.54,145.04,20,1.0,0,2400,2026-01-09 19:17:00
169,Network_D,13.081564,80.271178,-70.89,1.41,99.28,13,37.49,1,2400,2026-01-21 22:38:00
170,Network_A,13.082421,80.269383,-52.5,2.24,15.82,18,70.58,0,5000,2026-01-24 21:26:00
171,Network_D,13.083956,80.271161,-54.85,3.98,49.41,65,42.47,1,2400,2026-01-04 22:53:00
172,Network_D,13.081478,80.270171,-58.55,6.39,65.05,57,39.09,0,2400,2026-01-05 13:08:00
173,Network_B,13.083861,80.271029,-68.65,3.26,103.74,55,7.8,1,2400,2026-01-01 11:11:00
174,Network_D,13.082186,80.269763,-78.38,2.04,98.68,70,7.22,1,5000,2026-01-20 17:31:00
175,Network_B,13.082604,80.270204,-53.19,7.24,62.2,66,23.17,1,2400,2026-01-18 08:40:00
176,Network_A,13.083936,80.269006,-56.82,6.47,45.51,30,38.55,1,5000,2026-01-20 20:42:00
